id,dia,s.1,s.2,s.3,s.4,rpm.1,rpm.2,rpm.3,rpm.4,edad,rodillo
R019,1,35,55,82,189,9,11,14,27,P35,negro
R017,1,59,54,21,9,12,11,7,6,P35,negro
R020,1,47,89,211,19,10,15,30,7,P35,negro
R018,1,10,32,47,106,6,9,11,17,P35,negro
R021,1,7,80,122,120,6,14,19,42,P35,negro
R019,2,175,294,279,272,25,39,38,37,P35,negro
R017,2,26,32,41,45,8,9,10,10,P35,negro
R020,2,19,53,243,111,7,11,33,18,P35,negro
R018,2,29,21,17,6,8,7,7,6,P35,negro
R021,2,53,41,86,139,11,10,15,21,P35,negro
R019,3,106,120,131,71,17,19,20,13,P35,negro
R017,3,86,200,226,215,15,28,31,30,P35,negro
R020,3,300,300,111,300,40,40,18,40,P35,negro
R018,3,77,115,64,50,14,18,12,11,P35,negro
R021,3,44,88,111,90,10,15,18,15,P35,negro
R019,4,15,66,37,50,7,13,10,11,P35,negro
R017,4,300,300,236,300,40,40,33,40,P35,negro
R020,4,300,264,300,298,40,36,40,40,P35,negro
R018,4,93,66,90,74,16,13,15,14,P35,negro
R021,4,137,75,63,61,21,14,12,12,P35,negro
R019,1,8,23,23,33,7,12,12,15,P89,blanco
R017,1,87,98,65,103,31,35,24,39,P89,blanco
R020,1,18,60,18,19,10,23,10,10,P89,blanco
R018,1,14,11,6,37,9,8,6,16,P89,blanco
R021,1,3,3,10,2,6,6,10,5,P89,blanco
R019,2,40,41,41,48,17,17,17,19,P89,blanco
R017,2,106,120,37,26,40,40,16,13,P89,blanco
R020,2,23,44,50,83,12,18,20,30,P89,blanco
R018,2,42,17,33,17,17,10,15,10,P89,blanco
R021,2,3,3,1,5,6,6,5,6,P89,blanco
R019,3,39,37,46,44,17,16,19,18,P89,blanco
R017,3,74,9,62,120,27,7,24,40,P89,blanco
R020,3,21,14,22,14,11,9,11,9,P89,blanco
R018,3,47,63,87,18,19,24,31,10,P89,blanco
R021,3,2,21,16,51,5,11,9,20,P89,blanco
R019,4,54,63,52,73,21,24,20,27,P89,blanco
R017,4,95,52,41,115,33,20,17,40,P89,blanco
R020,4,13,23,3,15,9,12,6,9,P89,blanco
R018,4,56,32,72,33,22,14,27,15,P89,blanco
R021,4,22,40,15,24,11,17,9,12,P89,blanco
R016,1,33,7,12,7,16,7,9,7,P46,blanco
R015,1,9,9,8,35,8,7,7,15,P46,blanco
R013,1,15,21,24,36,9,11,12,16,P46,blanco
R014,1,2,31,15,20,5,14,9,11,P46,blanco
R012,1,7,4,4,5,7,6,6,6,P46,blanco
R016,2,43,3,43,30,18,6,18,10,P46,blanco
R015,2,36,15,15,22,16,9,9,11,P46,blanco
R013,2,10,23,40,40,8,12,17,17,P46,blanco
R014,2,14,12,35,20,9,8,15,9,P46,blanco
R012,2,5,3,3,5,6,5,6,6,P46,blanco
R016,3,14,40,10,40,9,17,8,17,P46,blanco
R015,3,15,18,30,41,9,10,14,17,P46,blanco
R013,3,14,47,51,60,9,19,20,23,P46,blanco
R014,3,32,24,39,22,14,12,17,11,P46,blanco
R012,3,8,2,12,25,7,5,8,12,P46,blanco
R016,4,32,22,44,63,14,11,18,24,P46,blanco
R015,4,65,58,43,77,24,22,18,28,P46,blanco
R013,4,25,59,56,61,12,23,22,23,P46,blanco
R014,4,24,27,44,46,12,13,18,19,P46,blanco
R012,4,45,64,43,50,18,70,18,20,P46,blanco
